6.2381 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
6.2643 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
6.6444 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041210>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E042500>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E042350>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001AD9E0D06A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.6445 	EXP 	window1: backgroundImage = ''
6.6445 	EXP 	window1: backgroundFit = 'none'
6.6447 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.6448 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.6553 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.6560 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.7168 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.7170 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.7178 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.7184 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001AD9E041330>
6.7401 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.7402 	EXP 	window1: recordFrameIntervals = False
6.9062 	EXP 	window1: recordFrameIntervals = True
7.0898 	EXP 	Screen (0) actual frame rate measured at 60.20Hz
7.0898 	EXP 	window1: recordFrameIntervals = False
7.0899 	EXP 	window1: mouseVisible = False
9.8093 	INFO 	keyboard.Keyboard is using iohub backend.
9.8094 	INFO 	keyboard.Keyboard is using iohub backend.
9.8094 	EXP 	Motor_Sequence_Learning: status = STARTED
9.8095 	EXP 	window1: mouseVisible = False
