5.8433 	INFO 	Loaded monitor calibration from ['2024_08_16 11:13']
5.8616 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
6.2045 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815210>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC816500>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC816350>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001B6CC89C6A0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.2046 	EXP 	window1: backgroundImage = ''
6.2047 	EXP 	window1: backgroundFit = 'none'
6.2050 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2053 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2093 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2099 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2580 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2581 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2587 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2592 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000001B6CC815330>
6.2814 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.2815 	EXP 	window1: recordFrameIntervals = False
6.4205 	EXP 	window1: recordFrameIntervals = True
6.6046 	EXP 	Screen (0) actual frame rate measured at 59.83Hz
6.6047 	EXP 	window1: recordFrameIntervals = False
6.6049 	EXP 	window1: mouseVisible = False
9.2798 	INFO 	keyboard.Keyboard is using iohub backend.
9.2799 	INFO 	keyboard.Keyboard is using iohub backend.
9.2799 	EXP 	Motor_Sequence_Learning: status = STARTED
9.2802 	EXP 	window1: mouseVisible = False
9.2872 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([-0.2549,  0.2392,  0.2549]), fillColorSpace='rgb', fillRGB=array([-0.2549,  0.2392,  0.2549]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([10., 10.]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
9.2874 	EXP 	window1: mouseVisible = False
