key_resp.corr	key_resp.rt	trials.key_resp.rt			
0	1.4382644	1.4382644			
0	0.6844983	0.6844983			Mean rt sequential
0	0.4266855	0.4266855			Mean rt of random
0	0.3053938	0.3053938			
0	0.5229983	0.5229983			
0	0.9582482	0.9582482			
0	0.7813181	0.7813181			
0	1.9142127	1.9142127			
0	0.6417015	0.6417015			
0	0.2958754	0.2958754			
0	0.7714624	0.7714624			
0	0.3476911	0.3476911			
0	0.4891525	0.4891525			
0	0.4198757	0.4198757			
0	0.7451874	0.7451874			
0	0.5975871	0.5975871			
0	1.0025631	1.0025631			
0	2.6249014	2.6249014			
0	0.7056598	0.7056598			
1	4.1993138	4.1993138			
1	1.1464778	1.1464778			
1	1.1963904	1.1963904			
1	0.56624	0.56624			
1	0.3954279	0.3954279			
1	0.4919525	0.4919525			
1	0.3184896	0.3184896			
1	0.9240572	0.9240572			
1	0.8855592	0.8855592			
1	0.3755384	0.3755384			
1	0.3770415	0.3770415			
1	0.6026092	0.6026092			
1	0.4200882	0.4200882			
1	0.3284672	0.3284672			
1	0.8332514	0.8332514			
1	0.5494779	0.5494779			
1	0.4346717	0.4346717			
1	0.5481885	0.5481885			
1	0.7417304	0.7417304			
1	0.5143655	0.5143655			
1	0.8368777	0.8368777			
1	0.8885999	0.8885999			
1	0.4363514	0.4363514			
1	0.2908366	0.2908366			
1	0.6085109	0.6085109			
1	0.5550185	0.5550185			
1	0.2968589	0.2968589			
1	0.9421497	0.9421497			
1	0.3212099	0.3212099			
1	0.5533298	0.5533298			
1	0.5172995	0.5172995			
1	0.5428292	0.5428292			
1	0.3066139	0.3066139			
1	0.3171822	0.3171822			
1	0.4811816	0.4811816			
1	0.6281014	0.6281014			
1	0.3881617	0.3881617			
1	0.4400862	0.4400862			
1	1.2121096	1.2121096			
1	0.4209041	0.4209041			
1	0.2776553	0.2776553			
1	0.3376415	0.3376415			
1	0.5290741	0.5290741			
1	0.344722	0.344722			
1	0.3364265	0.3364265			
1	0.5983715	0.5983715			
1	2.1607733	2.1607733			
1	0.5004851	0.5004851			
1	0.4505726	0.4505726			
1	0.4296546	0.4296546			
1	0.6616171	0.6616171			
1	1.3591342	1.3591342			
1	0.3781801	0.3781801			
1	0.4103244	0.4103244			
1	0.4347242	0.4347242			
1	0.4606167	0.4606167			
1	0.6491506	0.6491506			
1	0.6380323	0.6380323			
1	0.5418346	0.5418346			
1	0.3497642	0.3497642			
1	0.2871247	0.2871247			
1	0.3465095	0.3465095			
1	0.322875	0.322875			
1	0.636015	0.636015			
1	0.3127109	0.3127109			
1	0.4407656	0.4407656			
1	0.3360315	0.3360315			
1	0.4143152	0.4143152			
1	0.4699196	0.4699196			
1	0.4433252	0.4433252			
1	0.6038229	0.6038229			
1	0.2929579	0.2929579			
1	0.3666391	0.3666391			
1	0.4047218	0.4047218			
1	0.284487	0.284487			
1	0.4890787	0.4890787			
1	2.1828153	2.1828153			
1	0.6949509	0.6949509			
1	0.4334442	0.4334442			
1	0.4993013	0.4993013			
1	0.8916207	0.8916207			
1	0.3231048	0.3231048			
1	0.5332935	0.5332935			
1	1.5332419	1.5332419			
1	0.8447184	0.8447184			
1	1.1177991	1.1177991			
1	0.8246973	0.8246973			
1	0.7551619	0.7551619			
1	1.7157613	1.7157613			
1	0.9933356	0.9933356			
1	0.6783362	0.6783362			
1	0.486608	0.486608			
1	0.6478172	0.6478172			
1	0.3562756	0.3562756			
1	0.4400225	0.4400225			
1	0.438007	0.438007			
1	0.5498295	0.5498295			
1	2.0813748	2.0813748			
1	0.5437233	0.5437233			
1	18.532999	18.532999			
1	0.6165675	0.6165675			
1	0.3968844	0.3968844			
1	1.120789	1.120789			
